_step,ep_info/Final_position,seed,method
999,-0.3900208780830717,1802391005,Base SO RL
1999,-5.325188251175081,1802391005,Base SO RL
2999,-1.6300052612599736,1802391005,Base SO RL
3999,-6.404557607231636,1802391005,Base SO RL
4999,-4.194157435082434,1802391005,Base SO RL
5999,-0.9702477208763896,1802391005,Base SO RL
6999,-6.040157129755749,1802391005,Base SO RL
7999,-5.655160208973347,1802391005,Base SO RL
8999,4.36889973482135,1802391005,Base SO RL
9999,-0.1858431484692298,1802391005,Base SO RL
10999,-4.999868670095401,1802391005,Base SO RL
11999,-5.531094751502216,1802391005,Base SO RL
12999,-4.3097342721659455,1802391005,Base SO RL
13999,-8.39669513657379,1802391005,Base SO RL
14999,-0.4286821994733008,1802391005,Base SO RL
15999,2.8433698847110684,1802391005,Base SO RL
16999,-0.801104525168904,1802391005,Base SO RL
17999,0.8801716001403666,1802391005,Base SO RL
18999,-7.941671303509522,1802391005,Base SO RL
19999,-0.5814822075863953,1802391005,Base SO RL
20999,-2.490575717177988,1802391005,Base SO RL
21999,1.7928118288277768,1802391005,Base SO RL
22999,5.855506187107328,1802391005,Base SO RL
23999,7.071133430063501,1802391005,Base SO RL
24999,5.125895070034607,1802391005,Base SO RL
25999,9.545958997530084,1802391005,Base SO RL
26999,12.21573381121238,1802391005,Base SO RL
27999,17.730258497997244,1802391005,Base SO RL
28999,20.96742520660866,1802391005,Base SO RL
29999,24.888524980538904,1802391005,Base SO RL
30999,27.651859008828172,1802391005,Base SO RL
31999,36.4734989377978,1802391005,Base SO RL
32999,44.67197832175583,1802391005,Base SO RL
33999,9.477354885179963,1802391005,Base SO RL
34999,62.011942900941285,1802391005,Base SO RL
35999,69.04893294410924,1802391005,Base SO RL
36999,72.37836175431862,1802391005,Base SO RL
37999,35.76443793480066,1802391005,Base SO RL
38999,23.275550320000537,1802391005,Base SO RL
39999,92.28256816520197,1802391005,Base SO RL
40999,95.20914649630512,1802391005,Base SO RL
41999,95.28131619740788,1802391005,Base SO RL
42999,97.8409513253331,1802391005,Base SO RL
43999,104.52159164021536,1802391005,Base SO RL
44999,107.32335782245246,1802391005,Base SO RL
45999,108.7148907433262,1802391005,Base SO RL
46999,112.8659929209228,1802391005,Base SO RL
47999,114.2210945455786,1802391005,Base SO RL
48999,117.12536962789966,1802391005,Base SO RL
49999,121.58233246517553,1802391005,Base SO RL
50999,124.7889395987758,1802391005,Base SO RL
51999,126.60533350290378,1802391005,Base SO RL
52999,129.81565692344068,1802391005,Base SO RL
53999,132.31839506126917,1802391005,Base SO RL
54999,132.63902181516374,1802391005,Base SO RL
55999,135.60945606850325,1802391005,Base SO RL
56999,138.3723333413541,1802391005,Base SO RL
57999,140.68981747093426,1802391005,Base SO RL
58999,142.66076492185323,1802391005,Base SO RL
59999,142.36121040065618,1802391005,Base SO RL
60999,145.44332616972008,1802391005,Base SO RL
61999,147.37525379672482,1802391005,Base SO RL
62999,152.5762762347636,1802391005,Base SO RL
63999,153.13961231091326,1802391005,Base SO RL
64999,157.6565087759585,1802391005,Base SO RL
65999,157.23550456947964,1802391005,Base SO RL
66999,160.93408131205885,1802391005,Base SO RL
67999,161.06108406002733,1802391005,Base SO RL
68999,164.83951587939865,1802391005,Base SO RL
69999,164.83231619084324,1802391005,Base SO RL
70999,167.78593488245767,1802391005,Base SO RL
71999,168.9529586379114,1802391005,Base SO RL
72999,168.74095736829747,1802391005,Base SO RL
73999,168.55602065544844,1802391005,Base SO RL
74999,168.6819336679044,1802391005,Base SO RL
75999,169.19289993556083,1802391005,Base SO RL
76999,174.85733228310855,1802391005,Base SO RL
77999,169.6819811338761,1802391005,Base SO RL
78999,176.88467989291877,1802391005,Base SO RL
79999,175.50385448662112,1802391005,Base SO RL
80999,176.29538085616326,1802391005,Base SO RL
81999,177.60119291470463,1802391005,Base SO RL
82999,175.59459800650052,1802391005,Base SO RL
83999,178.20674554775485,1802391005,Base SO RL
84999,182.4793760886424,1802391005,Base SO RL
85999,186.723985478466,1802391005,Base SO RL
86999,186.42687179749475,1802391005,Base SO RL
87999,187.9804464835761,1802391005,Base SO RL
88999,186.62298644086945,1802391005,Base SO RL
89999,191.5376411789396,1802391005,Base SO RL
90999,190.4930903413044,1802391005,Base SO RL
91999,192.3670196908254,1802391005,Base SO RL
92999,195.42018521195357,1802391005,Base SO RL
93999,200.1747499099312,1802391005,Base SO RL
94999,203.06858658522688,1802391005,Base SO RL
95999,208.27788984031108,1802391005,Base SO RL
96999,210.1281800581683,1802391005,Base SO RL
97999,214.0081900197509,1802391005,Base SO RL
98999,213.6087029935132,1802391005,Base SO RL
99999,222.1822406771955,1802391005,Base SO RL
100999,222.68953835693512,1802391005,Base SO RL
101999,227.40966798207825,1802391005,Base SO RL
102999,223.56106315346312,1802391005,Base SO RL
103999,238.2350771170661,1802391005,Base SO RL
104999,240.27797092966532,1802391005,Base SO RL
105999,240.7920663584349,1802391005,Base SO RL
106999,244.25866700920608,1802391005,Base SO RL
107999,240.98190189239256,1802391005,Base SO RL
108999,241.42472561510843,1802391005,Base SO RL
109999,245.1305830930636,1802391005,Base SO RL
110999,243.08015325948767,1802391005,Base SO RL
111999,264.83512791766884,1802391005,Base SO RL
112999,261.8428904456036,1802391005,Base SO RL
113999,255.8620254108004,1802391005,Base SO RL
114999,270.4633016764642,1802391005,Base SO RL
115999,270.68048273352986,1802391005,Base SO RL
116999,273.8188857831296,1802391005,Base SO RL
117999,270.20965377381816,1802391005,Base SO RL
118999,277.71836250926174,1802391005,Base SO RL
119999,275.8727871337288,1802391005,Base SO RL
120999,283.6155173483287,1802391005,Base SO RL
121999,288.8668932497031,1802391005,Base SO RL
122999,290.3137646781872,1802391005,Base SO RL
123999,281.10374977993706,1802391005,Base SO RL
124999,295.1884434822313,1802391005,Base SO RL
125999,289.0565622667823,1802391005,Base SO RL
126999,300.636590711212,1802391005,Base SO RL
127999,294.1374183475544,1802391005,Base SO RL
128999,294.7887011621139,1802391005,Base SO RL
129999,301.3828468092967,1802391005,Base SO RL
130999,296.17183219857566,1802391005,Base SO RL
131999,307.6601696362839,1802391005,Base SO RL
132999,293.1979276157778,1802391005,Base SO RL
133999,300.98008437918514,1802391005,Base SO RL
134999,315.4670907032588,1802391005,Base SO RL
135999,317.9905055697908,1802391005,Base SO RL
136999,314.7016384446881,1802391005,Base SO RL
137999,310.53356378016446,1802391005,Base SO RL
138999,309.4438624589744,1802391005,Base SO RL
139999,320.68833581909394,1802391005,Base SO RL
140999,321.28628705856875,1802391005,Base SO RL
141999,316.7097944547639,1802391005,Base SO RL
142999,321.1775332397122,1802391005,Base SO RL
143999,320.966068737128,1802391005,Base SO RL
144999,317.0208074962459,1802391005,Base SO RL
145999,323.31389290515995,1802391005,Base SO RL
146999,318.6677989885508,1802391005,Base SO RL
147999,322.6252369663718,1802391005,Base SO RL
148999,326.4966360977803,1802391005,Base SO RL
149999,326.66531203491206,1802391005,Base SO RL
150999,329.6788779307892,1802391005,Base SO RL
151999,336.7222128431953,1802391005,Base SO RL
152999,334.03133642462427,1802391005,Base SO RL
153999,322.762396279252,1802391005,Base SO RL
154999,331.9350679482389,1802391005,Base SO RL
155999,328.98902797496646,1802391005,Base SO RL
156999,336.37706633173605,1802391005,Base SO RL
157999,340.57609311336057,1802391005,Base SO RL
158999,335.0316739689208,1802391005,Base SO RL
159999,337.41005600495964,1802391005,Base SO RL
160999,339.9368891989248,1802391005,Base SO RL
161999,335.4944760599034,1802391005,Base SO RL
162999,337.07684993393275,1802391005,Base SO RL
163999,339.5293450876732,1802391005,Base SO RL
164999,340.0468204105478,1802391005,Base SO RL
165999,341.9026823642371,1802391005,Base SO RL
166999,342.4847708866653,1802391005,Base SO RL
167999,347.0225338872706,1802391005,Base SO RL
168999,341.53789971753133,1802391005,Base SO RL
169999,342.4172320168204,1802391005,Base SO RL
170999,343.0229642624536,1802391005,Base SO RL
171999,345.15480753941364,1802391005,Base SO RL
172999,344.11823933657706,1802391005,Base SO RL
173999,344.9447101788662,1802391005,Base SO RL
174999,342.6631200391279,1802391005,Base SO RL
175999,341.692729236163,1802391005,Base SO RL
176999,343.9301598056015,1802391005,Base SO RL
177999,345.1517863418679,1802391005,Base SO RL
178999,342.3907695060488,1802391005,Base SO RL
179999,340.276353980764,1802391005,Base SO RL
180999,344.2286733496584,1802391005,Base SO RL
181999,347.3589355009665,1802391005,Base SO RL
182999,346.81412662710966,1802391005,Base SO RL
183999,352.86885590961606,1802391005,Base SO RL
184999,341.5944947880084,1802391005,Base SO RL
185999,340.94417985322406,1802391005,Base SO RL
186999,344.5755778915206,1802391005,Base SO RL
187999,351.60393872167816,1802391005,Base SO RL
188999,348.8869225002168,1802391005,Base SO RL
189999,355.1873994099353,1802391005,Base SO RL
190999,348.17354883887,1802391005,Base SO RL
191999,341.8250220277932,1802391005,Base SO RL
192999,346.6833805672118,1802391005,Base SO RL
193999,347.8372958434078,1802391005,Base SO RL
194999,349.01479104750086,1802391005,Base SO RL
195999,342.9233557961719,1802391005,Base SO RL
196999,344.1209426838612,1802391005,Base SO RL
197999,358.6033336203832,1802391005,Base SO RL
198999,349.16352660798754,1802391005,Base SO RL
199999,356.3645150895564,1802391005,Base SO RL
200999,344.88837091777924,1802391005,Base SO RL
201999,356.2026347305312,1802391005,Base SO RL
202999,345.58668902990297,1802391005,Base SO RL
203999,349.3542659262702,1802391005,Base SO RL
204999,354.39490028164687,1802391005,Base SO RL
205999,351.5900599073294,1802391005,Base SO RL
206999,356.26244962976966,1802391005,Base SO RL
207999,355.29658595562574,1802391005,Base SO RL
208999,351.9810068178886,1802391005,Base SO RL
209999,351.2162805659564,1802391005,Base SO RL
210999,351.07587076343555,1802391005,Base SO RL
211999,356.1578077459806,1802391005,Base SO RL
212999,354.94705006432434,1802391005,Base SO RL
213999,355.3557594622783,1802391005,Base SO RL
214999,353.43358219024645,1802391005,Base SO RL
215999,358.4931362311904,1802391005,Base SO RL
216999,357.13526658492657,1802391005,Base SO RL
217999,351.03983897651074,1802391005,Base SO RL
218999,343.3673617826596,1802391005,Base SO RL
219999,353.0863258653335,1802391005,Base SO RL
220999,350.5617559749171,1802391005,Base SO RL
221999,349.1086016650277,1802391005,Base SO RL
222999,361.04622302311446,1802391005,Base SO RL
223999,356.6736127992985,1802391005,Base SO RL
224999,359.3665433543944,1802391005,Base SO RL
225999,355.5784307190829,1802391005,Base SO RL
226999,360.14058772611304,1802391005,Base SO RL
227999,364.1826108500841,1802391005,Base SO RL
