"Step","env: CHICKENBANANA - lambdas/Gate","env: CHICKENBANANA - lambdas/Gate__MIN","env: CHICKENBANANA - lambdas/Gate__MAX"
"1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"6","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"8","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"10","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"11","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"12","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"13","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"14","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"15","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"16","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"17","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"18","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"19","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"20","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"21","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"22","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"23","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"24","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"25","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"26","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"27","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"28","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"29","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"30","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"31","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"32","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"33","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"34","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"35","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"36","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"37","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"38","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"39","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"40","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"41","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"42","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"43","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"44","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"45","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"46","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"47","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"48","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"49","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"50","0.2396706638128558","0.2396706638128558","0.2396706638128558"
"51","0.23550865412874397","0.23550865412874397","0.23550865412874397"
"52","0.2347711198927962","0.2347711198927962","0.2347711198927962"
"53","0.22873105357604315","0.22873105357604315","0.22873105357604315"
"54","0.21859181520682092","0.21859181520682092","0.21859181520682092"
"55","0.20777716331029486","0.20777716331029486","0.20777716331029486"
"56","0.19299258251270296","0.19299258251270296","0.19299258251270296"
"57","0.18572683732729917","0.18572683732729917","0.18572683732729917"
"58","0.1764467166625781","0.1764467166625781","0.1764467166625781"
"59","0.1661094319406644","0.1661094319406644","0.1661094319406644"
"60","0.15519242244777615","0.15519242244777615","0.15519242244777615"
"61","0.14393844990439716","0.14393844990439716","0.14393844990439716"
"62","0.13247241113539118","0.13247241113539118","0.13247241113539118"
"63","0.1259229771422507","0.1259229771422507","0.1259229771422507"
"64","0.12189449269054511","0.12189449269054511","0.12189449269054511"
"65","0.12065978648310705","0.12065978648310705","0.12065978648310705"
"66","0.11423897531774016","0.11423897531774016","0.11423897531774016"
"67","0.11172689543266044","0.11172689543266044","0.11172689543266044"
"68","0.11115892133620608","0.11115892133620608","0.11115892133620608"
"69","0.11086546858136326","0.11086546858136326","0.11086546858136326"
"70","0.10331702090626772","0.10331702090626772","0.10331702090626772"
"71","0.0936972901551765","0.0936972901551765","0.0936972901551765"
"72","0.08300237545659843","0.08300237545659843","0.08300237545659843"
"73","0.07815062014691689","0.07815062014691689","0.07815062014691689"
"74","0.07570138131399369","0.07570138131399369","0.07570138131399369"
"75","0.08160752068126652","0.08160752068126652","0.08160752068126652"
"76","0.07690922846706248","0.07690922846706248","0.07690922846706248"
"77","0.07507463916189941","0.07507463916189941","0.07507463916189941"
"78","0.0671755474393367","0.0671755474393367","0.0671755474393367"
"79","0.0565575812973941","0.0565575812973941","0.0565575812973941"
"80","0.05138918047196262","0.05138918047196262","0.05138918047196262"
"81","0.05459714033299967","0.05459714033299967","0.05459714033299967"
"82","0.05618676619921984","0.05618676619921984","0.05618676619921984"
"83","0.056978031024950075","0.056978031024950075","0.056978031024950075"
"84","0.057372781402105846","0.057372781402105846","0.057372781402105846"
"85","0.05756993670194745","0.05756993670194745","0.05756993670194745"
"86","0.06428907309109637","0.06428907309109637","0.06428907309109637"
"87","0.06189023716811212","0.06189023716811212","0.06189023716811212"
"88","0.060676905736027145","0.060676905736027145","0.060676905736027145"
"89","0.06006671620413072","0.06006671620413072","0.06006671620413072"
"90","0.05976073472367595","0.05976073472367595","0.05976073472367595"
"91","0.059607521579712185","0.059607521579712185","0.059607521579712185"
"92","0.06039962723202628","0.06039962723202628","0.06039962723202628"
"93","0.06080116861910895","0.06080116861910895","0.06080116861910895"
"94","0.06100333267916812","0.06100333267916812","0.06100333267916812"
"95","0.0611047657484984","0.0611047657484984","0.0611047657484984"
"96","0.06115557038301988","0.06115557038301988","0.06115557038301988"
"97","0.061180994767926614","0.061180994767926614","0.061180994767926614"
"98","0.06119371248263772","0.06119371248263772","0.06119371248263772"
"99","0.06120007272122678","0.06120007272122678","0.06120007272122678"
"100","0.06120325318591333","0.06120325318591333","0.06120325318591333"
"101","0.06120484350461513","0.06120484350461513","0.06120484350461513"
"102","0.06081292057234442","0.06081292057234442","0.06081292057234442"
"103","0.06061737614757528","0.06061737614757528","0.06061737614757528"
"104","0.06700366756304856","0.06700366756304856","0.06700366756304856"
"105","0.07780841025452467","0.07780841025452467","0.07780841025452467"
"106","0.08392256036618627","0.08392256036618627","0.08392256036618627"
"107","0.08705016632826142","0.08705016632826142","0.08705016632826142"
"108","0.08863182856317263","0.08863182856317263","0.08863182856317263"
"109","0.08883524496155676","0.08883524496155676","0.08883524496155676"
"110","0.08834310388151183","0.08834310388151183","0.08834310388151183"
"111","0.08809596405373843","0.08809596405373843","0.08809596405373843"
"112","0.08797213277111901","0.08797213277111901","0.08797213277111901"
"113","0.08115180495913848","0.08115180495913848","0.08115180495913848"
"114","0.07828377336996852","0.07828377336996852","0.07828377336996852"
"115","0.07683868746628073","0.07683868746628073","0.07683868746628073"
"116","0.07561613345942311","0.07561613345942311","0.07561613345942311"
