"Step","setup: Dylam - lambdas/Gate","setup: Dylam - lambdas/Gate__MIN","setup: Dylam - lambdas/Gate__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.34568908629209283","0.131744474460281","0.516980892399238"
"11","0.34567674113370656","0.13142906196330645","0.516980892399238"
"12","0.3456817447068327","0.13111515565814358","0.5170416014875777"
"13","0.3455343568679824","0.1308027487356275","0.5168914503714058"
"14","0.34529443593325054","0.1304529735945781","0.5164074048588866"
"15","0.34512349083827304","0.1301050386163724","0.5158650258290473"
"16","0.3448337539115277","0.12934854743132565","0.5152648642047333"
"17","0.3444498539448376","0.1285585122832484","0.5144562888434748"
"18","0.34398469043238966","0.1277738657331576","0.5133792132274944"
"19","0.3435070558833716","0.12695666886440676","0.5123060663438075"
"20","0.34294733988521814","0.1261077312777068","0.511236847620402"
"21","0.342400289587515","0.12522786055131027","0.5099591044397035"
"22","0.3417445482657441","0.12435508079422071","0.5084114101108325"
"23","0.3410461086201745","0.12348932809649582","0.5068680417683532"
"24","0.34032188453255363","0.12266731528124347","0.5054512856980826"
"25","0.33945628790365745","0.12185158224821374","0.5038234153365426"
"26","0.33853655321094805","0.12104207504130673","0.5019839496769466"
"27","0.3376505115557026","0.12027487175536745","0.5001478417648495"
"28","0.33669711428206317","0.11947726321851639","0.4983151409616361"
"29","0.33568421935927195","0.11872143542207465","0.4962690537673855"
"30","0.33471841954631637","0.11800653699684203","0.4942262932443552"
"31","0.33364746022579284","0.11733174035911935","0.49218692073696363"
"32","0.33248807620930565","0.11662601872529905","0.490150996835743"
"33","0.3314288190852067","0.11592502451271836","0.48811858137517794"
"34","0.33034237702387415","0.11522872242746979","0.48597016482989935"
"35","0.3292888505578554","0.11450256819519397","0.48382653555356225"
"36","0.32819831384778164","0.11378160438767648","0.48168775145586945"
"37","0.32702826580034594","0.11303168220788859","0.47943515445847223"
"38","0.3259114653623073","0.11232134114642471","0.4770702613945736"
"39","0.3248313432860253","0.11161606200595676","0.47471272901168066"
"40","0.3238252928021167","0.11091580404350145","0.47236261281428843"
"41","0.3228415504381013","0.11022052686690607","0.4699024264271168"
"42","0.32188225107676627","0.10956332154313628","0.46745095142064536"
"43","0.3209158132701619","0.10891047276516347","0.4650082403116052"
"44","0.31989639944015236","0.108261948265024","0.4626909713405004"
"45","0.3188667064779766","0.10761771603031098","0.46060827195589304"
