"Step","setup: Dylam - lambdas/Chicken","setup: Dylam - lambdas/Chicken__MIN","setup: Dylam - lambdas/Chicken__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.5292310359138197","0.34188479806508815","0.8681960479623043"
"11","0.5293572347924893","0.3418289635414549","0.8685114388527695"
"12","0.529509678199773","0.34177331331242","0.8688253236546006"
"13","0.5297805044537293","0.3418597256000408","0.8691377091764964"
"14","0.5301121178853995","0.34239715131985415","0.8691896780722735"
"15","0.5304901855633932","0.3432419956424","0.8692411128660276"
"16","0.5310753723239434","0.3440834201673127","0.8697027564571789"
"17","0.531655740973485","0.3449782300089024","0.8699016897696084"
"18","0.532300171869567","0.34592651932796037","0.8700983247655407"
"19","0.5328713458631983","0.3469280885155553","0.8700329716629743"
"20","0.533485882729111","0.34829377948627477","0.8697065676533807"
"21","0.5340290185944427","0.3494306066084897","0.8691201303450461"
"22","0.5346799530982485","0.350563481308308","0.8685347047909532"
"23","0.5353594594327646","0.3516923987131659","0.8679503145364685"
"24","0.5361505887720563","0.3526720819869706","0.8676271005859395"
"25","0.5370054599522026","0.3537934979181718","0.8673038332687514"
"26","0.5378275073140683","0.3550568186115656","0.8669805352669355"
"27","0.5387060580725932","0.3562601295525282","0.8669176580800958"
"28","0.5396016559480585","0.35755048256095595","0.8665931546730544"
"29","0.5405978835232201","0.35892861507884005","0.8665293289813453"
"30","0.5415759762225367","0.36030378230775323","0.8667252463634428"
"31","0.5426610484185143","0.3620497286956169","0.8671800479834554"
"32","0.5437985516856686","0.3638486544770016","0.8673706925548583"
"33","0.5449238113786583","0.36573703178416855","0.8675593205237128"
"34","0.5459728033174587","0.36767881747172","0.8677459537052034"
"35","0.5469575094579258","0.3696172526543235","0.8676691119596532"
"36","0.5480304858266967","0.3714572114951038","0.8675913829700896"
"37","0.5490748320057779","0.37334894475403757","0.867251096495727"
"38","0.5501163462454565","0.3752357081270015","0.8671728555622701"
"39","0.5511668502707497","0.37711744840789213","0.8670937819828709"
"40","0.5521761697729227","0.3789941135497105","0.8670138948184946"
"41","0.553173978533752","0.3808656526569421","0.8669332128490731"
"42","0.554159884074692","0.3826771661533587","0.8671139632128924"
"43","0.5551316259978651","0.3843294217224494","0.8672928718767187"
"44","0.5562040233377703","0.38607734999143145","0.8674699583595555"
"45","0.5572935835370327","0.38782109616731064","0.8676452419696827"
