_step,lambdas/Objective,seed,arm
1,0.3333333333333333,1769018515,l1
2,0.3333333333333333,1769018515,l1
3,0.3333333333333333,1769018515,l1
4,0.3333333333333333,1769018515,l1
5,0.3333333333333333,1769018515,l1
6,0.3333333333333333,1769018515,l1
7,0.3333333333333333,1769018515,l1
8,0.3333333333333333,1769018515,l1
9,0.3333333333333333,1769018515,l1
10,0.5,1769018515,l1
11,0.5001388788223267,1769018515,l1
12,0.5002769231796265,1769018515,l1
13,0.5002755522727966,1769018515,l1
14,0.49999651312828064,1769018515,l1
15,0.4995804727077484,1769018515,l1
16,0.49916669726371765,1769018515,l1
17,0.49889352917671204,1769018515,l1
18,0.49862173199653625,1769018515,l1
19,0.4983512759208679,1769018515,l1
20,0.4980821907520294,1769018515,l1
21,0.497814416885376,1769018515,l1
22,0.49740859866142273,1769018515,l1
23,0.49700459837913513,1769018515,l1
24,0.496600478887558,1769018515,l1
25,0.4964757263660431,1769018515,l1
26,0.4962111711502075,1769018515,l1
27,0.49553075432777405,1769018515,l1
28,0.4945739209651947,1769018515,l1
29,0.4934789836406708,1769018515,l1
30,0.4922453463077545,1769018515,l1
31,0.49087202548980713,1769018515,l1
32,0.48978137969970703,1769018515,l1
33,0.48869264125823975,1769018515,l1
34,0.4876057803630829,1769018515,l1
35,0.48623913526535034,1769018515,l1
36,0.4848749041557312,1769018515,l1
37,0.4836497902870178,1769018515,l1
38,0.4827094078063965,1769018515,l1
39,0.4817701578140259,1769018515,l1
40,0.4808320999145508,1769018515,l1
41,0.4801800847053528,1769018515,l1
42,0.4792434871196747,1769018515,l1
43,0.4783080518245697,1769018515,l1
44,0.4773739278316498,1769018515,l1
45,0.4767279326915741,1769018515,l1
46,0.4760827422142029,1769018515,l1
47,0.4754384756088257,1769018515,l1
48,0.4746434688568115,1769018515,l1
49,0.4738490581512451,1769018515,l1
50,0.47305527329444885,1769018515,l1
51,0.47197169065475464,1769018515,l1
52,0.4708889126777649,1769018515,l1
53,0.46980708837509155,1769018515,l1
54,0.46872615814208984,1769018515,l1
55,0.4673531949520111,1769018515,l1
56,0.46598145365715027,1769018515,l1
57,0.46461090445518494,1769018515,l1
