"Step","env: CHICKENBANANA - lambdas/Objective","env: CHICKENBANANA - lambdas/Objective__MIN","env: CHICKENBANANA - lambdas/Objective__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.3594315422966588","0.21831281607194084","0.47332050123207187"
"11","0.3573908546812943","0.22712413943136991","0.46369476385068453"
"12","0.3521409323726411","0.237778168873354","0.4549034714784888"
"13","0.34067572029946713","0.23775898127233824","0.4557692876008513"
"14","0.3274755414141403","0.22132590536067775","0.4568810549406697"
"15","0.3189957001336429","0.20630891938309126","0.4468908236060437"
"16","0.306909021973145","0.17968331626098816","0.4510841686829095"
"17","0.2856443700585266","0.14833420700295563","0.44092547563948137"
"18","0.26526676307089364","0.12226089862894897","0.43366954278880476"
"19","0.25144148526686094","0.10176245204575303","0.4285219321588965"
"20","0.234029863280761","0.08604231188071244","0.4496832182437769"
"21","0.20965065170756914","0.0770657357406746","0.4468174263675711"
"22","0.1915486483443108","0.08681344377492471","0.4446717370864918"
"23","0.1817804457323846","0.0811751599492762","0.4297087431108376"
"24","0.17532503535396934","0.06894615097669882","0.41898503902627926"
"25","0.16705409368064744","0.06029129023992786","0.3923819388781318"
"26","0.15504227819823718","0.05529945563082024","0.3590836730442685"
"27","0.14914394945411452","0.05269114744061058","0.33528697795843876"
"28","0.1477652636341809","0.03777889617455414","0.30338197028877295"
"29","0.1463352079429538","0.026904437706361854","0.2950249898887869"
"30","0.14625886522793316","0.01906991636430404","0.29896184259295217"
"31","0.14807730821417028","0.013746869489884937","0.30164704043920526"
"32","0.14453820843676982","0.00982918088321934","0.3034933592668518"
"33","0.13692593325153718","0.0071292188162028385","0.288196898491283"
"34","0.13112881578709729","0.005122348791275982","0.26042587269139"
"35","0.1274354705563669","0.0037295095403430097","0.2501167068055656"
"36","0.1273801996701382","0.002690504130846001","0.2709878269162313"
"37","0.1309931593808527","0.01773833996096169","0.2568071580658042"
"38","0.1321007525401588","0.044463083999792194","0.26330534991859944"
"39","0.12643520019223198","0.05156185002340623","0.25054477617527793"
"40","0.11930670827744887","0.03574972230661928","0.24160030778089595"
"41","0.11048378462436186","0.024858170919124963","0.2301079230591674"
"42","0.11246473963222225","0.01701852434275756","0.24138267188415782"
"43","0.1152203449736382","0.011732420657414012","0.24886078003339068"
"44","0.11386476332483442","0.008131795069473343","0.24144379361632665"
