"Step","env: CHICKENBANANA - lambdas/Chicken","env: CHICKENBANANA - lambdas/Chicken__MIN","env: CHICKENBANANA - lambdas/Chicken__MAX"
"1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"6","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"8","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"10","0.5111483249697679","0.5111483249697679","0.5111483249697679"
"11","0.5112922057018379","0.5112922057018379","0.5112922057018379"
"12","0.5120006429930486","0.5120006429930486","0.5120006429930486"
"13","0.5129008153669709","0.5129008153669709","0.5129008153669709"
"14","0.5142191706427284","0.5142191706427284","0.5142191706427284"
"15","0.5154814511197281","0.5154814511197281","0.5154814511197281"
"16","0.516934609621173","0.516934609621173","0.516934609621173"
"17","0.5183824307373092","0.5183824307373092","0.5183824307373092"
"18","0.5194022918155454","0.5194022918155454","0.5194022918155454"
"19","0.5206158649937558","0.5206158649937558","0.5206158649937558"
"20","0.5216791674446706","0.5216791674446706","0.5216791674446706"
"21","0.5229368800371788","0.5229368800371788","0.5229368800371788"
"22","0.5241905565959234","0.5241905565959234","0.5241905565959234"
"23","0.5254401951573865","0.5254401951573865","0.5254401951573865"
"24","0.5264863975283536","0.5264863975283536","0.5264863975283536"
"25","0.5275800529058933","0.5275800529058933","0.5275800529058933"
"26","0.5280961905971883","0.5280961905971883","0.5280961905971883"
"27","0.5284101717145463","0.5284101717145463","0.5284101717145463"
"28","0.5291472436497109","0.5291472436497109","0.5291472436497109"
"29","0.5298807888921736","0.5298807888921736","0.5298807888921736"
"30","0.5307607530500109","0.5307607530500109","0.5307607530500109"
"31","0.53148683587968","0.53148683587968","0.53148683587968"
"32","0.5322094328942879","0.5322094328942879","0.5322094328942879"
"33","0.5329285579328291","0.5329285579328291","0.5329285579328291"
"34","0.5338449973754292","0.5338449973754292","0.5338449973754292"
"35","0.5349089114408628","0.5349089114408628","0.5349089114408628"
"36","0.5365457235376685","0.5365457235376685","0.5365457235376685"
"37","0.5382258560505921","0.5382258560505921","0.5382258560505921"
"38","0.5398995668542154","0.5398995668542154","0.5398995668542154"
"39","0.5415668519299904","0.5415668519299904","0.5415668519299904"
"40","0.5432277077926041","0.5432277077926041","0.5432277077926041"
"41","0.5450374837387455","0.5450374837387455","0.5450374837387455"
"42","0.5468413030023758","0.5468413030023758","0.5468413030023758"
"43","0.548639151710425","0.548639151710425","0.548639151710425"
"44","0.5504310165612869","0.5504310165612869","0.5504310165612869"
"45","0.5516332258636581","0.5516332258636581","0.5516332258636581"
"46","0.5524675544956178","0.5524675544956178","0.5524675544956178"
"47","0.5534564779707937","0.5534564779707937","0.5534564779707937"
"48","0.5544414482008244","0.5544414482008244","0.5544414482008244"
"49","0.5554224733853259","0.5554224733853259","0.5554224733853259"
"50","0.5562398479281694","0.5562398479281694","0.5562398479281694"
"51","0.557053330107507","0.557053330107507","0.557053330107507"
"52","0.557862934481476","0.557862934481476","0.557862934481476"
"53","0.5586686756245642","0.5586686756245642","0.5586686756245642"
"54","0.5594705681261545","0.5594705681261545","0.5594705681261545"
"55","0.5606944364426923","0.5606944364426923","0.5606944364426923"
"56","0.5622811937599878","0.5622811937599878","0.5622811937599878"
"57","0.5638615028886093","0.5638615028886093","0.5638615028886093"
"58","0.5654353669885307","0.5654353669885307","0.5654353669885307"
"59","0.5670027896437458","0.5670027896437458","0.5670027896437458"
"60","0.5683557105528","0.5683557105528","0.5683557105528"
"61","0.5697027030873179","0.5697027030873179","0.5697027030873179"
"62","0.5710437789201305","0.5710437789201305","0.5710437789201305"
"63","0.5723789499604902","0.5723789499604902","0.5723789499604902"
"64","0.5735418328075981","0.5735418328075981","0.5735418328075981"
"65","0.5746987621983828","0.5746987621983828","0.5746987621983828"
"66","0.5758497600832041","0.5758497600832041","0.5758497600832041"
"67","0.5769948485192363","0.5769948485192363","0.5769948485192363"
"68","0.578134049665946","0.578134049665946","0.578134049665946"
"69","0.5792673857806447","0.5792673857806447","0.5792673857806447"
"70","0.5807736032751369","0.5807736032751369","0.5807736032751369"
"71","0.5821037426959313","0.5821037426959313","0.5821037426959313"
"72","0.5828331459454968","0.5828331459454968","0.5828331459454968"
"73","0.5835582813100644","0.5835582813100644","0.5835582813100644"
"74","0.584450221920221","0.584450221920221","0.584450221920221"
"75","0.5855094816482136","0.5855094816482136","0.5855094816482136"
"76","0.5865646115617593","0.5865646115617593","0.5865646115617593"
"77","0.5876156192956806","0.5876156192956806","0.5876156192956806"
"78","0.5886625125862053","0.5886625125862053","0.5886625125862053"
"79","0.5897052992691215","0.5897052992691215","0.5897052992691215"
"80","0.590743987277954","0.590743987277954","0.590743987277954"
"81","0.5917410632124537","0.5917410632124537","0.5917410632124537"
"82","0.5933331894856976","0.5933331894856976","0.5933331894856976"
"83","0.5949196421768138","0.5949196421768138","0.5949196421768138"
"84","0.5965004197233289","0.5965004197233289","0.5965004197233289"
"85","0.5978995458113796","0.5978995458113796","0.5978995458113796"
"86","0.5992929953722992","0.5992929953722992","0.5992929953722992"
"87","0.6006807763228905","0.6006807763228905","0.6006807763228905"
"88","0.601461617510785","0.601461617510785","0.601461617510785"
"89","0.6022391277827968","0.6022391277827968","0.6022391277827968"
"90","0.6030133173676728","0.6030133173676728","0.6030133173676728"
"91","0.6038208133400644","0.6038208133400644","0.6038208133400644"
"92","0.6046243615774176","0.6046243615774176","0.6046243615774176"
"93","0.6054239779979388","0.6054239779979388","0.6054239779979388"
"94","0.6062196785188918","0.6062196785188918","0.6062196785188918"
"95","0.6071913783686361","0.6071913783686361","0.6071913783686361"
"96","0.608159142940178","0.608159142940178","0.608159142940178"
"97","0.609122981585632","0.609122981585632","0.609122981585632"
"98","0.6106878327633053","0.6106878327633053","0.6106878327633053"
"99","0.612246632627256","0.612246632627256","0.612246632627256"
"100","0.613617003737329","0.613617003737329","0.613617003737329"
"101","0.6151640922820696","0.6151640922820696","0.6151640922820696"
"102","0.6167051440564313","0.6167051440564313","0.6167051440564313"
"103","0.6182401634982846","0.6182401634982846","0.6182401634982846"
"104","0.6197691553601771","0.6197691553601771","0.6197691553601771"
"105","0.6212921247042975","0.6212921247042975","0.6212921247042975"
"106","0.6226235427949712","0.6226235427949712","0.6226235427949712"
"107","0.6239488565870722","0.6239488565870722","0.6239488565870722"
"108","0.625081563070173","0.625081563070173","0.625081563070173"
"109","0.6262081549056712","0.6262081549056712","0.6262081549056712"
"110","0.6275161340734471","0.6275161340734471","0.6275161340734471"
"111","0.6288180788902509","0.6288180788902509","0.6288180788902509"
"112","0.6301140058709281","0.6301140058709281","0.6301140058709281"
"113","0.6314039316952547","0.6314039316952547","0.6314039316952547"
"114","0.6326878732035135","0.6326878732035135","0.6326878732035135"
"115","0.6339658473921311","0.6339658473921311","0.6339658473921311"
"116","0.6354282883343662","0.6354282883343662","0.6354282883343662"
"117","0.6368848186320053","0.6368848186320053","0.6368848186320053"
"118","0.638526875817124","0.638526875817124","0.638526875817124"
