"Step","env: CHICKENBANANA - lambdas/Banana","env: CHICKENBANANA - lambdas/Banana__MIN","env: CHICKENBANANA - lambdas/Banana__MAX"
"1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"6","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"8","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"10","0.00003723778955120395","0.00003723778955120395","0.00003723778955120395"
"11","0.018811292441769743","0.018811292441769743","0.018811292441769743"
"12","0.02826598075480383","0.02826598075480383","0.02826598075480383"
"13","0.03299621188360123","0.03299621188360123","0.03299621188360123"
"14","0.0353603482282347","0.0353603482282347","0.0353603482282347"
"15","0.0380279002747819","0.0380279002747819","0.0380279002747819"
"16","0.04129101150558976","0.04129101150558976","0.04129101150558976"
"17","0.04489003447528093","0.04489003447528093","0.04489003447528093"
"18","0.047119854031863084","0.047119854031863084","0.047119854031863084"
"19","0.0505907415990595","0.0505907415990595","0.0505907415990595"
"20","0.05238830815886333","0.05238830815886333","0.05238830815886333"
"21","0.026557522514276868","0.026557522514276868","0.026557522514276868"
"22","0.013965314554184175","0.013965314554184175","0.013965314554184175"
"23","0.03706910462473551","0.03706910462473551","0.03706910462473551"
"24","0.05164190757489","0.05164190757489","0.05164190757489"
"25","0.05767775384488809","0.05767775384488809","0.05767775384488809"
"26","0.060446869717216405","0.060446869717216405","0.060446869717216405"
"27","0.05929359074111752","0.05929359074111752","0.05929359074111752"
"28","0.05855435570094803","0.05855435570094803","0.05855435570094803"
"29","0.058149143362051965","0.058149143362051965","0.058149143362051965"
"30","0.08650600310419465","0.08650600310419465","0.08650600310419465"
"31","0.1048637113405793","0.1048637113405793","0.1048637113405793"
"32","0.11434233077791822","0.11434233077791822","0.11434233077791822"
"33","0.08910409338642236","0.08910409338642236","0.08910409338642236"
"34","0.07617227698392277","0.07617227698392277","0.07617227698392277"
"35","0.10019341608896588","0.10019341608896588","0.10019341608896588"
"36","0.11212065100071608","0.11212065100071608","0.11212065100071608"
"37","0.11806220750300309","0.11806220750300309","0.11806220750300309"
"38","0.1210273208398997","0.1210273208398997","0.1210273208398997"
"39","0.12250844280780572","0.12250844280780572","0.12250844280780572"
"40","0.09301995262573202","0.09301995262573202","0.09301995262573202"
"41","0.07489904630216951","0.07489904630216951","0.07489904630216951"
"42","0.06429823581344049","0.06429823581344049","0.06429823581344049"
"43","0.06178460261550283","0.06178460261550283","0.06178460261550283"
"44","0.060397709562388484","0.060397709562388484","0.060397709562388484"
"45","0.03155177479793053","0.03155177479793053","0.03155177479793053"
"46","0.016575599182686983","0.016575599182686983","0.016575599182686983"
"47","0.00864408597279223","0.00864408597279223","0.00864408597279223"
"48","0.004410487192476073","0.004410487192476073","0.004410487192476073"
"49","0.0022618435861509146","0.0022618435861509146","0.0022618435861509146"
"50","0.001160208869548247","0.001160208869548247","0.001160208869548247"
"51","0.0006087720013438106","0.0006087720013438106","0.0006087720013438106"
"52","0.0356974689252261","0.0356974689252261","0.0356974689252261"
"53","0.0550036389584607","0.0550036389584607","0.0550036389584607"
"54","0.06495280138951996","0.06495280138951996","0.06495280138951996"
"55","0.0698819645267015","0.0698819645267015","0.0698819645267015"
"56","0.07133010592346795","0.07133010592346795","0.07133010592346795"
"57","0.0701478967331966","0.0701478967331966","0.0701478967331966"
"58","0.0691092373617464","0.0691092373617464","0.0691092373617464"
"59","0.0985846178890058","0.0985846178890058","0.0985846178890058"
"60","0.10765419248298014","0.10765419248298014","0.10765419248298014"
"61","0.11580502852177764","0.11580502852177764","0.11580502852177764"
"62","0.08968007465165896","0.08968007465165896","0.08968007465165896"
"63","0.10689885334142753","0.10689885334142753","0.10689885334142753"
"64","0.11546032687263795","0.11546032687263795","0.11546032687263795"
"65","0.11972867178878183","0.11972867178878183","0.11972867178878183"
"66","0.12185969563844108","0.12185969563844108","0.12185969563844108"
"67","0.12744610054579686","0.12744610054579686","0.12744610054579686"
"68","0.13013745166741747","0.13013745166741747","0.13013745166741747"
"69","0.09955695900205719","0.09955695900205719","0.09955695900205719"
"70","0.1161899499025509","0.1161899499025509","0.1161899499025509"
"71","0.12047176906381223","0.12047176906381223","0.12047176906381223"
"72","0.12232359499225622","0.12232359499225622","0.12232359499225622"
"73","0.09268854063097492","0.09268854063097492","0.09268854063097492"
"74","0.08083586387416267","0.08083586387416267","0.08083586387416267"
"75","0.076875484561607","0.076875484561607","0.076875484561607"
"76","0.07125636507842789","0.07125636507842789","0.07125636507842789"
"77","0.06683731862401354","0.06683731862401354","0.06683731862401354"
"78","0.0647071580389959","0.0647071580389959","0.0647071580389959"
"79","0.06366155738700004","0.06366155738700004","0.06366155738700004"
"80","0.03195491211136586","0.03195491211136586","0.03195491211136586"
"81","0.016028301913737806","0.016028301913737806","0.016028301913737806"
"82","0.03948567251447844","0.03948567251447844","0.03948567251447844"
"83","0.05109694936184135","0.05109694936184135","0.05109694936184135"
"84","0.05527621716883258","0.05527621716883258","0.05527621716883258"
"85","0.05716789103060236","0.05716789103060236","0.05716789103060236"
"86","0.06011408590372229","0.06011408590372229","0.06011408590372229"
"87","0.09200847442798868","0.09200847442798868","0.09200847442798868"
"88","0.13781013425326993","0.13781013425326993","0.13781013425326993"
"89","0.16596185320799128","0.16596185320799128","0.16596185320799128"
"90","0.18029477958229478","0.18029477958229478","0.18029477958229478"
"91","0.18750456273008437","0.18750456273008437","0.18750456273008437"
"92","0.1605222774560304","0.1605222774560304","0.1605222774560304"
"93","0.14673371275371508","0.14673371275371508","0.14673371275371508"
"94","0.14370286420427242","0.14370286420427242","0.14370286420427242"
"95","0.1382470046801853","0.1382470046801853","0.1382470046801853"
"96","0.13917543351358705","0.13917543351358705","0.13917543351358705"
"97","0.10617887881581184","0.10617887881581184","0.10617887881581184"
"98","0.054345256831655524","0.054345256831655524","0.054345256831655524"
"99","0.06140251911030625","0.06140251911030625","0.06140251911030625"
"100","0.06468967295569071","0.06468967295569071","0.06468967295569071"
"101","0.06627125023823531","0.06627125023823531","0.06627125023823531"
"102","0.0670464003505146","0.0670464003505146","0.0670464003505146"
"103","0.06743005233504228","0.06743005233504228","0.06743005233504228"
"104","0.09719660111841705","0.09719660111841705","0.09719660111841705"
"105","0.11095833927382233","0.11095833927382233","0.11095833927382233"
"106","0.1130585529812494","0.1130585529812494","0.1130585529812494"
"107","0.11373339838124495","0.11373339838124495","0.11373339838124495"
"108","0.14203077767251146","0.14203077767251146","0.14203077767251146"
"109","0.13352561962476603","0.13352561962476603","0.13352561962476603"
"110","0.12888911386393162","0.12888911386393162","0.12888911386393162"
"111","0.13120011941320472","0.13120011941320472","0.13120011941320472"
"112","0.13207595677275089","0.13207595677275089","0.13207595677275089"
"113","0.13243690904594432","0.13243690904594432","0.13243690904594432"
"114","0.10063209615613597","0.10063209615613597","0.10063209615613597"
"115","0.11674469164979565","0.11674469164979565","0.11674469164979565"
"116","0.12475898079056821","0.12475898079056821","0.12475898079056821"
