_step,ep_info/Chicken,seed,method
1,0,1764531749,DyLam
2,70,1764531749,DyLam
3,0,1764531749,DyLam
4,70,1764531749,DyLam
5,0,1764531749,DyLam
6,0,1764531749,DyLam
7,0,1764531749,DyLam
8,0,1764531749,DyLam
9,0,1764531749,DyLam
10,0,1764531749,DyLam
11,0,1764531749,DyLam
12,0,1764531749,DyLam
13,0,1764531749,DyLam
14,0,1764531749,DyLam
15,0,1764531749,DyLam
16,0,1764531749,DyLam
17,0,1764531749,DyLam
18,70,1764531749,DyLam
19,0,1764531749,DyLam
20,0,1764531749,DyLam
21,0,1764531749,DyLam
22,0,1764531749,DyLam
23,0,1764531749,DyLam
24,0,1764531749,DyLam
25,0,1764531749,DyLam
26,70,1764531749,DyLam
27,0,1764531749,DyLam
28,0,1764531749,DyLam
29,0,1764531749,DyLam
30,0,1764531749,DyLam
31,0,1764531749,DyLam
32,0,1764531749,DyLam
33,0,1764531749,DyLam
34,0,1764531749,DyLam
35,0,1764531749,DyLam
36,0,1764531749,DyLam
37,0,1764531749,DyLam
38,0,1764531749,DyLam
39,0,1764531749,DyLam
40,0,1764531749,DyLam
41,0,1764531749,DyLam
42,0,1764531749,DyLam
43,0,1764531749,DyLam
44,0,1764531749,DyLam
45,70,1764531749,DyLam
46,0,1764531749,DyLam
47,0,1764531749,DyLam
48,0,1764531749,DyLam
49,0,1764531749,DyLam
50,0,1764531749,DyLam
51,0,1764531749,DyLam
52,0,1764531749,DyLam
53,0,1764531749,DyLam
54,0,1764531749,DyLam
55,0,1764531749,DyLam
56,0,1764531749,DyLam
57,0,1764531749,DyLam
58,0,1764531749,DyLam
59,0,1764531749,DyLam
60,0,1764531749,DyLam
61,0,1764531749,DyLam
62,0,1764531749,DyLam
63,0,1764531749,DyLam
64,0,1764531749,DyLam
65,0,1764531749,DyLam
66,0,1764531749,DyLam
67,0,1764531749,DyLam
68,0,1764531749,DyLam
69,0,1764531749,DyLam
70,0,1764531749,DyLam
71,0,1764531749,DyLam
72,70,1764531749,DyLam
73,0,1764531749,DyLam
74,0,1764531749,DyLam
75,0,1764531749,DyLam
76,0,1764531749,DyLam
77,0,1764531749,DyLam
78,0,1764531749,DyLam
79,0,1764531749,DyLam
80,0,1764531749,DyLam
81,0,1764531749,DyLam
82,0,1764531749,DyLam
83,0,1764531749,DyLam
84,0,1764531749,DyLam
85,0,1764531749,DyLam
86,0,1764531749,DyLam
87,0,1764531749,DyLam
88,70,1764531749,DyLam
89,0,1764531749,DyLam
90,0,1764531749,DyLam
91,0,1764531749,DyLam
92,0,1764531749,DyLam
93,0,1764531749,DyLam
94,0,1764531749,DyLam
95,0,1764531749,DyLam
96,0,1764531749,DyLam
97,0,1764531749,DyLam
98,0,1764531749,DyLam
99,0,1764531749,DyLam
100,0,1764531749,DyLam
101,0,1764531749,DyLam
102,0,1764531749,DyLam
103,0,1764531749,DyLam
104,0,1764531749,DyLam
105,0,1764531749,DyLam
106,0,1764531749,DyLam
107,0,1764531749,DyLam
108,0,1764531749,DyLam
109,0,1764531749,DyLam
110,0,1764531749,DyLam
111,0,1764531749,DyLam
112,0,1764531749,DyLam
113,0,1764531749,DyLam
114,0,1764531749,DyLam
115,0,1764531749,DyLam
116,0,1764531749,DyLam
117,0,1764531749,DyLam
118,0,1764531749,DyLam
119,0,1764531749,DyLam
120,0,1764531749,DyLam
121,0,1764531749,DyLam
122,0,1764531749,DyLam
123,0,1764531749,DyLam
124,0,1764531749,DyLam
125,0,1764531749,DyLam
126,0,1764531749,DyLam
127,0,1764531749,DyLam
128,0,1764531749,DyLam
129,0,1764531749,DyLam
130,0,1764531749,DyLam
131,0,1764531749,DyLam
132,0,1764531749,DyLam
133,0,1764531749,DyLam
134,0,1764531749,DyLam
135,0,1764531749,DyLam
136,0,1764531749,DyLam
137,0,1764531749,DyLam
138,0,1764531749,DyLam
139,0,1764531749,DyLam
140,0,1764531749,DyLam
141,0,1764531749,DyLam
142,0,1764531749,DyLam
143,70,1764531749,DyLam
144,0,1764531749,DyLam
145,0,1764531749,DyLam
146,0,1764531749,DyLam
147,0,1764531749,DyLam
148,0,1764531749,DyLam
149,0,1764531749,DyLam
150,0,1764531749,DyLam
151,0,1764531749,DyLam
152,0,1764531749,DyLam
153,0,1764531749,DyLam
154,0,1764531749,DyLam
155,0,1764531749,DyLam
156,0,1764531749,DyLam
157,70,1764531749,DyLam
158,0,1764531749,DyLam
159,0,1764531749,DyLam
160,0,1764531749,DyLam
161,0,1764531749,DyLam
162,0,1764531749,DyLam
163,0,1764531749,DyLam
164,0,1764531749,DyLam
165,0,1764531749,DyLam
166,0,1764531749,DyLam
167,0,1764531749,DyLam
168,0,1764531749,DyLam
169,0,1764531749,DyLam
170,0,1764531749,DyLam
171,0,1764531749,DyLam
172,0,1764531749,DyLam
173,0,1764531749,DyLam
174,0,1764531749,DyLam
175,0,1764531749,DyLam
176,0,1764531749,DyLam
177,0,1764531749,DyLam
178,0,1764531749,DyLam
179,0,1764531749,DyLam
180,0,1764531749,DyLam
181,0,1764531749,DyLam
182,0,1764531749,DyLam
183,0,1764531749,DyLam
184,0,1764531749,DyLam
185,0,1764531749,DyLam
186,0,1764531749,DyLam
187,0,1764531749,DyLam
188,0,1764531749,DyLam
189,0,1764531749,DyLam
190,0,1764531749,DyLam
191,0,1764531749,DyLam
192,0,1764531749,DyLam
193,0,1764531749,DyLam
194,0,1764531749,DyLam
195,0,1764531749,DyLam
196,0,1764531749,DyLam
197,0,1764531749,DyLam
198,0,1764531749,DyLam
199,0,1764531749,DyLam
200,0,1764531749,DyLam
201,0,1764531749,DyLam
202,0,1764531749,DyLam
203,0,1764531749,DyLam
204,0,1764531749,DyLam
205,0,1764531749,DyLam
206,0,1764531749,DyLam
207,0,1764531749,DyLam
208,0,1764531749,DyLam
209,0,1764531749,DyLam
210,0,1764531749,DyLam
211,0,1764531749,DyLam
212,0,1764531749,DyLam
213,0,1764531749,DyLam
214,0,1764531749,DyLam
215,0,1764531749,DyLam
216,0,1764531749,DyLam
217,0,1764531749,DyLam
218,70,1764531749,DyLam
219,0,1764531749,DyLam
220,0,1764531749,DyLam
221,0,1764531749,DyLam
222,0,1764531749,DyLam
223,0,1764531749,DyLam
224,0,1764531749,DyLam
225,0,1764531749,DyLam
226,0,1764531749,DyLam
227,0,1764531749,DyLam
228,0,1764531749,DyLam
229,0,1764531749,DyLam
230,0,1764531749,DyLam
231,0,1764531749,DyLam
232,0,1764531749,DyLam
233,0,1764531749,DyLam
234,0,1764531749,DyLam
235,0,1764531749,DyLam
236,0,1764531749,DyLam
237,0,1764531749,DyLam
238,0,1764531749,DyLam
239,0,1764531749,DyLam
240,0,1764531749,DyLam
241,0,1764531749,DyLam
242,0,1764531749,DyLam
243,0,1764531749,DyLam
244,0,1764531749,DyLam
245,0,1764531749,DyLam
246,0,1764531749,DyLam
247,0,1764531749,DyLam
248,0,1764531749,DyLam
249,0,1764531749,DyLam
250,0,1764531749,DyLam
251,0,1764531749,DyLam
252,0,1764531749,DyLam
253,0,1764531749,DyLam
254,0,1764531749,DyLam
255,0,1764531749,DyLam
256,0,1764531749,DyLam
257,0,1764531749,DyLam
258,0,1764531749,DyLam
259,0,1764531749,DyLam
260,0,1764531749,DyLam
261,0,1764531749,DyLam
262,0,1764531749,DyLam
263,0,1764531749,DyLam
264,0,1764531749,DyLam
265,0,1764531749,DyLam
266,0,1764531749,DyLam
267,0,1764531749,DyLam
268,0,1764531749,DyLam
269,0,1764531749,DyLam
270,0,1764531749,DyLam
271,0,1764531749,DyLam
272,0,1764531749,DyLam
273,0,1764531749,DyLam
274,0,1764531749,DyLam
275,0,1764531749,DyLam
276,0,1764531749,DyLam
277,0,1764531749,DyLam
278,0,1764531749,DyLam
279,0,1764531749,DyLam
280,0,1764531749,DyLam
281,0,1764531749,DyLam
282,0,1764531749,DyLam
283,0,1764531749,DyLam
284,0,1764531749,DyLam
285,0,1764531749,DyLam
286,0,1764531749,DyLam
287,0,1764531749,DyLam
288,0,1764531749,DyLam
289,0,1764531749,DyLam
290,0,1764531749,DyLam
291,0,1764531749,DyLam
292,0,1764531749,DyLam
293,0,1764531749,DyLam
294,0,1764531749,DyLam
295,0,1764531749,DyLam
296,0,1764531749,DyLam
297,0,1764531749,DyLam
298,0,1764531749,DyLam
299,0,1764531749,DyLam
300,0,1764531749,DyLam
301,0,1764531749,DyLam
302,0,1764531749,DyLam
303,0,1764531749,DyLam
304,0,1764531749,DyLam
305,0,1764531749,DyLam
306,0,1764531749,DyLam
307,0,1764531749,DyLam
308,0,1764531749,DyLam
309,0,1764531749,DyLam
310,0,1764531749,DyLam
311,0,1764531749,DyLam
312,0,1764531749,DyLam
313,0,1764531749,DyLam
314,0,1764531749,DyLam
315,0,1764531749,DyLam
316,0,1764531749,DyLam
317,0,1764531749,DyLam
318,0,1764531749,DyLam
319,0,1764531749,DyLam
320,0,1764531749,DyLam
321,0,1764531749,DyLam
322,0,1764531749,DyLam
323,0,1764531749,DyLam
324,0,1764531749,DyLam
325,0,1764531749,DyLam
326,0,1764531749,DyLam
327,0,1764531749,DyLam
328,0,1764531749,DyLam
329,0,1764531749,DyLam
330,0,1764531749,DyLam
331,0,1764531749,DyLam
332,0,1764531749,DyLam
333,0,1764531749,DyLam
334,0,1764531749,DyLam
335,0,1764531749,DyLam
336,0,1764531749,DyLam
337,0,1764531749,DyLam
338,0,1764531749,DyLam
339,0,1764531749,DyLam
340,0,1764531749,DyLam
341,0,1764531749,DyLam
342,0,1764531749,DyLam
343,0,1764531749,DyLam
344,0,1764531749,DyLam
345,0,1764531749,DyLam
346,0,1764531749,DyLam
347,0,1764531749,DyLam
348,0,1764531749,DyLam
349,0,1764531749,DyLam
350,0,1764531749,DyLam
351,0,1764531749,DyLam
352,0,1764531749,DyLam
353,0,1764531749,DyLam
354,0,1764531749,DyLam
355,0,1764531749,DyLam
356,0,1764531749,DyLam
357,0,1764531749,DyLam
358,0,1764531749,DyLam
359,0,1764531749,DyLam
360,0,1764531749,DyLam
361,0,1764531749,DyLam
362,0,1764531749,DyLam
363,0,1764531749,DyLam
364,0,1764531749,DyLam
365,0,1764531749,DyLam
366,0,1764531749,DyLam
367,0,1764531749,DyLam
368,0,1764531749,DyLam
369,0,1764531749,DyLam
370,0,1764531749,DyLam
371,0,1764531749,DyLam
372,0,1764531749,DyLam
373,0,1764531749,DyLam
374,0,1764531749,DyLam
375,0,1764531749,DyLam
376,0,1764531749,DyLam
377,0,1764531749,DyLam
378,0,1764531749,DyLam
379,0,1764531749,DyLam
380,0,1764531749,DyLam
381,0,1764531749,DyLam
382,0,1764531749,DyLam
383,0,1764531749,DyLam
384,0,1764531749,DyLam
385,0,1764531749,DyLam
386,0,1764531749,DyLam
387,0,1764531749,DyLam
388,0,1764531749,DyLam
389,0,1764531749,DyLam
390,0,1764531749,DyLam
391,0,1764531749,DyLam
392,0,1764531749,DyLam
393,0,1764531749,DyLam
394,0,1764531749,DyLam
395,0,1764531749,DyLam
396,0,1764531749,DyLam
397,0,1764531749,DyLam
398,0,1764531749,DyLam
399,0,1764531749,DyLam
400,0,1764531749,DyLam
401,0,1764531749,DyLam
402,0,1764531749,DyLam
403,0,1764531749,DyLam
404,0,1764531749,DyLam
405,0,1764531749,DyLam
406,0,1764531749,DyLam
407,0,1764531749,DyLam
408,0,1764531749,DyLam
